Køn;Beskæftigelsesstatus;Alder;År;Kvartal;Procent
Mænd;Beskæftigelsesfrekvens;15-24 år;1996;1;71,4
Mænd;Beskæftigelsesfrekvens;15-24 år;1996;2;73
Mænd;Beskæftigelsesfrekvens;15-24 år;1996;3;72,3
Mænd;Beskæftigelsesfrekvens;15-24 år;1996;4;71,6
Mænd;Beskæftigelsesfrekvens;15-24 år;1997;1;74,2
Mænd;Beskæftigelsesfrekvens;15-24 år;1997;2;75,1
Mænd;Beskæftigelsesfrekvens;15-24 år;1997;3;75,5
Mænd;Beskæftigelsesfrekvens;15-24 år;1997;4;74,1
Mænd;Beskæftigelsesfrekvens;15-24 år;1998;1;71,8
Mænd;Beskæftigelsesfrekvens;15-24 år;1998;2;70,6
Mænd;Beskæftigelsesfrekvens;15-24 år;1998;3;73,5
Mænd;Beskæftigelsesfrekvens;15-24 år;1998;4;73,1
Mænd;Beskæftigelsesfrekvens;15-24 år;1999;1;72,7
Mænd;Beskæftigelsesfrekvens;15-24 år;1999;2;73,9
Mænd;Beskæftigelsesfrekvens;15-24 år;1999;3;73,3
Mænd;Beskæftigelsesfrekvens;15-24 år;1999;4;67,5
Mænd;Beskæftigelsesfrekvens;15-24 år;2000;1;66,5
Mænd;Beskæftigelsesfrekvens;15-24 år;2000;2;73,1
Mænd;Beskæftigelsesfrekvens;15-24 år;2000;3;73,4
Mænd;Beskæftigelsesfrekvens;15-24 år;2000;4;71,6
Mænd;Beskæftigelsesfrekvens;15-24 år;2001;1;70,2
Mænd;Beskæftigelsesfrekvens;15-24 år;2001;2;67,3
Mænd;Beskæftigelsesfrekvens;15-24 år;2001;3;69,6
Mænd;Beskæftigelsesfrekvens;15-24 år;2001;4;63,8
Mænd;Beskæftigelsesfrekvens;15-24 år;2002;1;67,4
Mænd;Beskæftigelsesfrekvens;15-24 år;2002;2;66,9
Mænd;Beskæftigelsesfrekvens;15-24 år;2002;3;72,8
Mænd;Beskæftigelsesfrekvens;15-24 år;2002;4;67,7
Mænd;Beskæftigelsesfrekvens;15-24 år;2003;1;65,2
Mænd;Beskæftigelsesfrekvens;15-24 år;2003;2;64
Mænd;Beskæftigelsesfrekvens;15-24 år;2003;3;66,7
Mænd;Beskæftigelsesfrekvens;15-24 år;2003;4;63,5
Mænd;Beskæftigelsesfrekvens;15-24 år;2004;1;67,8
Mænd;Beskæftigelsesfrekvens;15-24 år;2004;2;66,7
Mænd;Beskæftigelsesfrekvens;15-24 år;2004;3;68,4
Mænd;Beskæftigelsesfrekvens;15-24 år;2004;4;63,9
Mænd;Beskæftigelsesfrekvens;15-24 år;2005;1;68,2
Mænd;Beskæftigelsesfrekvens;15-24 år;2005;2;69,5
Mænd;Beskæftigelsesfrekvens;15-24 år;2005;3;66,9
Mænd;Beskæftigelsesfrekvens;15-24 år;2005;4;64,4
Mænd;Beskæftigelsesfrekvens;15-24 år;2006;1;66,4
Mænd;Beskæftigelsesfrekvens;15-24 år;2006;2;65,8
Mænd;Beskæftigelsesfrekvens;15-24 år;2006;3;73,2
Mænd;Beskæftigelsesfrekvens;15-24 år;2006;4;68,1
Mænd;Beskæftigelsesfrekvens;15-24 år;2007;1;68,6
Mænd;Beskæftigelsesfrekvens;15-24 år;2007;2;68,4
Mænd;Beskæftigelsesfrekvens;15-24 år;2007;3;65,7
Mænd;Beskæftigelsesfrekvens;15-24 år;2007;4;64,5
Mænd;Beskæftigelsesfrekvens;15-24 år;2008;1;65,3
Mænd;Beskæftigelsesfrekvens;15-24 år;2008;2;69,9
