Køn,Alder,Dødsårsag,År,Antal
Mænd,0 år,"Infektionssygdom, ej tuberkulose",1982,7
Mænd,0 år,"Infektionssygdom, ej tuberkulose",1983,9
Mænd,0 år,"Infektionssygdom, ej tuberkulose",1984,5
Mænd,0 år,"Infektionssygdom, ej tuberkulose",1985,6
Mænd,0 år,"Infektionssygdom, ej tuberkulose",1986,6
Mænd,0 år,"Infektionssygdom, ej tuberkulose",1987,6
Mænd,0 år,"Infektionssygdom, ej tuberkulose",1988,4
Mænd,0 år,"Infektionssygdom, ej tuberkulose",1989,5
Mænd,0 år,"Infektionssygdom, ej tuberkulose",1990,6
Mænd,0 år,"Infektionssygdom, ej tuberkulose",1991,4
Mænd,0 år,"Infektionssygdom, ej tuberkulose",1992,5
Mænd,0 år,"Infektionssygdom, ej tuberkulose",1993,8
Mænd,0 år,"Infektionssygdom, ej tuberkulose",1994,4
Mænd,0 år,"Infektionssygdom, ej tuberkulose",1995,1
Mænd,0 år,"Infektionssygdom, ej tuberkulose",1996,0
Mænd,0 år,"Infektionssygdom, ej tuberkulose",1997,5
Mænd,0 år,"Infektionssygdom, ej tuberkulose",1998,0
Mænd,0 år,"Infektionssygdom, ej tuberkulose",1999,2
Mænd,0 år,"Infektionssygdom, ej tuberkulose",2000,2
Mænd,0 år,"Infektionssygdom, ej tuberkulose",2001,5
Mænd,0 år,"Infektionssygdom, ej tuberkulose",2002,1
Mænd,0 år,"Infektionssygdom, ej tuberkulose",2003,1
Mænd,0 år,"Infektionssygdom, ej tuberkulose",2004,1
Mænd,0 år,"Infektionssygdom, ej tuberkulose",2005,2
Mænd,0 år,"Infektionssygdom, ej tuberkulose",2006,1
Mænd,0 år,"Infektionssygdom, ej tuberkulose",2007,4
Mænd,0 år,"Infektionssygdom, ej tuberkulose",2008,1
Mænd,0 år,"Infektionssygdom, ej tuberkulose",2009,1
Mænd,0 år,"Infektionssygdom, ej tuberkulose",2010,1
Mænd,0 år,"Infektionssygdom, ej tuberkulose",2011,1
Mænd,0 år,"Infektionssygdom, ej tuberkulose",2012,0
Mænd,0 år,"Infektionssygdom, ej tuberkulose",2013,1
Mænd,0 år,"Infektionssygdom, ej tuberkulose",2014,1
Mænd,0 år,Tuberkulose,1982,0
Mænd,0 år,Tuberkulose,1983,0
Mænd,0 år,Tuberkulose,1984,0
Mænd,0 år,Tuberkulose,1985,0
Mænd,0 år,Tuberkulose,1986,0
Mænd,0 år,Tuberkulose,1987,0
Mænd,0 år,Tuberkulose,1988,0
Mænd,0 år,Tuberkulose,1989,0
Mænd,0 år,Tuberkulose,1990,0
Mænd,0 år,Tuberkulose,1991,0
Mænd,0 år,Tuberkulose,1992,0
Mænd,0 år,Tuberkulose,1993,0
Mænd,0 år,Tuberkulose,1994,0
