Dato;Tid;NO2 myg/m3;NOx myg(NO2)/m3;CO mg/m3;O3 myg/m3;PM10(Teom) myg/m3;PM25(Teom) myg/m3;SO2 myg/m3
27-02;11-12;46,77;129,78;0,44;22,94;16,45;11,25;2,10
27-02;10-11;45,86;143,31;0,45;18,16;13,80;9,70;2,74
27-02;9-10;36,11;93,52;0,41;20,01;10,90;7,15;1,43
27-02;8- 9;37,34;87,44;0,33;18,78;12,05;8,35;1,29
27-02;7- 8;52,24;116,54;0,40;9,06;17,60;10,70;1,75
27-02;6- 7;49,22;114,70;0,33;5,36;17,80;11,60;1,76
27-02;5- 6;60,99;174,28;0,37;2,43;17,35;10,50;3,21
27-02;4- 5;68,85;197,12;0,40;3,73;18,50;10,80;3,64
27-02;3- 4;64,43;175,72;0,54;4,56;23,55;14,55;3,01
27-02;2- 3;64,61;146,97;0,36;7,14;18,55;10,95;2,34
27-02;1- 2;65,97;146,90;0,46;8,63;18,60;11,20;2,27
27-02;0- 1;52,02;148,75;0,50;16,66;20,15;11,50;2,66
26-02;23-24;59,84;146,92;0,48;19,56;18,85;10,95;2,27
26-02;22-23;55,72;124,02;0,42;20,76;21,00;11,95;1,99
26-02;21-22;58,51;124,00;0,46;21,46;23,80;13,20;1,66
26-02;20-21;64,00;165,79;0,53;12,28;45,45;17,05;2,57
26-02;19-20;86,06;207,83;0,65;7,05;71,00;19,20;3,42
26-02;18-19;103,05;337,23;0,80;7,59;83,50;20,15;6,22
26-02;17-18;74,87;210,47;0,64;25,91;75,50;13,50;4,02
26-02;16-17;45,20;108,37;0,44;43,74;66,05;10,95;2,09
26-02;15-16;44,18;108,68;0,41;44,54;75,80;10,65;1,93
26-02;14-15;39,08;111,70;0,40;47,58;88,05;12,15;2,14
26-02;13-14;41,44;129,15;0,35;44,12;132,75;14,55;2,51
26-02;12-13;48,44;140,98;0,38;42,76;162,10;14,90;2,80
26-02;11-12;56,24;162,94;0,37;39,78;269,35;18,80;3,25
26-02;10-11;33,85;110,54;0,31;42,34;70,35;10,25;2,19
26-02;9-10;62,75;204,63;0,38;27,05;28,50;9,85;3,86
26-02;8- 9;103,35;318,79;0,57;8,60;28,20;11,65;5,72
26-02;7- 8;98,46;382,85;0,64;2,07;30,20;14,40;7,44
26-02;6- 7;80,95;238,21;0,45;7,79;20,60;10,95;4,64
26-02;5- 6;49,27;122,75;0,32;21,34;13,80;7,55;2,27
26-02;4- 5;31,47;62,08;0,27;34,35;12,10;6,70;1,05
26-02;3- 4;30,48;59,53;0,30;28,81;11,75;7,30;0,74
26-02;2- 3;32,86;57,38;0,30;28,46;10,90;6,75;0,80
26-02;1- 2;35,65;71,95;0,29;26,56;11,25;7,30;0,95
26-02;0- 1;51,16;100,15;0,37;20,45;13,90;8,60;1,45
25-02;23-24;46,27;90,50;0,36;26,69;15,80;9,30;1,21
25-02;22-23;49,26;106,75;0,44;24,33;16,35;9,40;1,38
25-02;21-22;45,18;92,05;0,41;36,62;16,30;9,05;1,36
25-02;20-21;49,83;93,33;0,35;39,85;21,25;8,95;1,07
25-02;19-20;63,38;129,51;0,40;30,30;44,75;11,05;1,90
