ID,bydel,vejid,vejnavn,frastation,tilstation,hastighed,anb_hastig
7376,Vanløse,1016100000000,Rødkildevej,187,478,50,0
7377,Indre By,1016676000000,Sofiegade,0,204,40,0
7378,Vanløse,1011824000000,Flinterupvej,0,188,50,0
7380,Nørrebro,1012814000000,Henrik Pontoppidans Vej,0,162,50,0
7381,Vesterbro-Kongens Enghave,1017888800000,Wagnersvej,278,518,40,0
7382,Vanløse,1014480000000,Lyngholmvej,0,435,50,0
7383,Brønshøj-Husum,1017792000000,Tårnholmsvej,0,152,50,0
7385,Nørrebro,1016580020000,Slejpnersgade,0,41,50,0
7386,Amager Vest,1014902000000,C.F. Møllers Allé,0,482,50,0
7387,Amager Vest,1010237000000,Asger Jorns Allé,0,435,40,0
7388,Vesterbro-Kongens Enghave,1010776000000,Boyesgade,0,141,50,0
7389,Valby,1013708000000,Kirstinedalsvej,0,76,50,40
7390,Vanløse,1016192000000,Saltøvej,0,136,50,0
7391,Østerbro,1015088000000,Nyborggade,0,348,50,0
7392,Nørrebro,1012588000000,Hans Egedes Gade,0,467,50,0
7394,Vanløse,1012396000000,Gudenåvej,0,344,50,0
7395,Indre By,1012074000000,Galionsvej,0,408,50,0
7396,Østerbro,1015332000000,Otto Mallings Gade,0,124,40,0
7397,Bispebjerg,1017144000000,Svanevej,0,428,40,0
7398,Vanløse,1012308000000,Grysgårdsvej,0,202,50,0
7399,Vanløse,1017752000000,Tyttebærvej,0,149,50,30
7401,Amager Øst,1018104000000,Ved Sønderport,0,280,50,0
7402,Østerbro,1016388300000,Silkeborg Plads,0,64,50,0
6755,Amager Øst,1017604000000,Tovelillevej,545,625,15,0
7403,Amager Vest,1010848000000,Bristol Allé,0,260,50,0
7404,Vanløse,1011398020000,Dysseager,0,64,50,0
7406,Valby,1011864000000,Folehaven,0,1468,60,0
7407,Vesterbro-Kongens Enghave,1015240000000,Oehlenschlægersgade,341,497,50,0
7408,Vesterbro-Kongens Enghave,1015240000000,Oehlenschlægersgade,497,640,50,30
7409,Vesterbro-Kongens Enghave,1015240000000,Oehlenschlægersgade,640,763,50,0
7472,Brønshøj-Husum,1015632000000,Præstegårds Allé,425,771,50,30
7473,Brønshøj-Husum,1013108000000,Hvedevej,435,677,50,30
7474,Brønshøj-Husum,1012504000000,Gåseurtvej,181,292,50,30
7475,Brønshøj-Husum,1010940000000,Brønshøj Kirkevej,128,778,50,30
7476,Bispebjerg,1014836000000,Mosesvinget,50,845,40,30
7477,Bispebjerg,1014836000000,Mosesvinget,845,1219,40,0
7478,Bispebjerg,1014836000000,Mosesvinget,1219,1406,40,0
7479,Brønshøj-Husum,1014524000000,Lærkebakken,95,172,40,30
7480,Bispebjerg,1013024000000,Horsebakken,855,1093,40,0
7481,Bispebjerg,1011328000000,Drejervej,74,112,50,40
7482,Bispebjerg,1011328000000,Drejervej,112,275,50,0
7483,Valby,1013216000000,Højsagervej,138,313,50,40
7484,Valby,1013216000000,Højsagervej,313,408,50,0
7485,Valby,1013180000000,Højbovej,250,301,50,40
7486,Valby,1013180000000,Højbovej,301,466,50,0
7487,Vesterbro-Kongens Enghave,1014036000000,Kvægtorvsgade,146,190,50,0
7488,Vesterbro-Kongens Enghave,1012544320H00,Halmtorvet,0,80,15,0
7489,Vesterbro-Kongens Enghave,1012544000V00,Halmtorvet,0,85,50,30
7490,Vesterbro-Kongens Enghave,1012544300000,Halmtorvet,81,130,50,0
7491,Vesterbro-Kongens Enghave,1012544300H00,Halmtorvet,0,228,50,0
7492,Vesterbro-Kongens Enghave,1012544300V00,Halmtorvet,0,261,50,0
7493,Vesterbro-Kongens Enghave,1017288000V00,Sønder Boulevard,0,1005,50,40
7494,Vesterbro-Kongens Enghave,1012544300V00,Halmtorvet,261,569,50,40
7495,Vesterbro-Kongens Enghave,1012544300H00,Halmtorvet,229,439,15,0
7496,Vesterbro-Kongens Enghave,1017288000H00,Sønder Boulevard,0,24,15,0
7497,Vesterbro-Kongens Enghave,1017288000H00,Sønder Boulevard,24,220,50,0
7498,Vesterbro-Kongens Enghave,1017288000H00,Sønder Boulevard,220,996,50,40
7499,Vesterbro-Kongens Enghave,1017288000V00,Sønder Boulevard,1011,1267,50,0
7500,Vesterbro-Kongens Enghave,1017288000H00,Sønder Boulevard,1002,1248,50,0
7541,Amager Øst,1016196000000,Samosvej,0,568,50,30
7504,Amager Vest,1013300000000,Islands Brygge,0,820,40,0
7822,Amager Øst,1016996000000,Strandlodsvej,0,1479,50,40
7505,Amager Vest,1013300000000,Islands Brygge,0,820,50,0
5929,Amager Øst,1018370000000,Vindmøllevej,0,1041,50,0
7542,Amager Øst,1016196000000,Samosvej,0,568,40,30
4601,Indre By,1013418000000,Johan Semps Gade,0,129,40,0
7543,Vesterbro-Kongens Enghave,1017212000000,Sydhavnsgade,0,773,70,0
7823,Amager Øst,1016996000000,Strandlodsvej,0,1479,50,0
7544,Vesterbro-Kongens Enghave,1017212000000,Sydhavnsgade,0,773,60,0
7548,Nørrebro,1016740000000,Sortedam Dossering,498,1585,50,0
7550,Valby,1011634000000,Erik Ballings Vej,0,69,50,0
7551,Valby,1011634000000,Erik Ballings Vej,0,69,15,0
7552,Indre By,1011936000000,Frederiksborggade,0,163,15,0
7553,Indre By,1011936000000,Frederiksborggade,0,163,40,0
